FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-01;5,374
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-02;5,3735
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-03;5,428
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-06;5,4265
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-07;5,43
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-08;5,418
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-09;5,446
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-10;5,4545
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-13;5,5005
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-14;5,495
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-15;5,47
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-21;5,487
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-22;5,4855
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-23;5,4845
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-24;5,486
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-27;5,507
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-28;5,5265
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-29;5,534
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-04-30;5,553
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-04;5,608
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-05;5,6255
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-06;5,603
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-07;5,5975
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-08;5,6145
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-11;5,6325
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-12;5,6455
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-13;5,648
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-14;5,6925
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-15;5,684
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-18;5,669
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-19;5,672
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-20;5,6865
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-21;5,666
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-22;5,703
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-25;5,715
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-26;5,7425
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-27;5,749
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-05-29;5,73
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-06-01;5,738
B;Virkedag;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;1981-06-02;5,793
